,Unnamed: 0,images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating,rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,Unnamed: 27,img_x,density_x,hull_x,density_y,hull_y,img_y,density,hull,img
52,8447,images/k20.bmp,gestalt,,,0.0,74.0,74.0,19.0,,,,,,,4.0,1.453,,,,,,,2016_Apr_25_1714,59.9520304169,Gestalt_exp1,1,23068,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
53,8542,images/k20.bmp,gestalt,,,0.0,8.0,8.0,19.0,,,,,,,7.0,2.219,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,1,23086,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
54,8701,images/k20.bmp,gestalt,,,0.0,6.0,6.0,19.0,,,,,,,3.0,2.102,,,,,,,2016_May_04_1404,59.9031393311,Gestalt_exp1,1,23125,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
55,8920,images/k20.bmp,gestalt,,,0.0,64.0,64.0,19.0,,,,,,,2.0,3.652,,,,,,,2016_May_03_1309,59.9276177141,Gestalt_exp1,1,23143,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
56,9035,images/k20.bmp,gestalt,,,0.0,18.0,18.0,19.0,,,,,,,2.0,2.852,,,,,,,2016_Aug_24_1146,59.9168310665,Gestalt_exp1,1,23713,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
57,9195,images/k20.bmp,gestalt,,,0.0,17.0,17.0,19.0,,,,,,,2.0,2.72,,,,,,,2016_Oct_03_1507,59.9208542032,Gestalt_exp1,1,23767,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
58,9357,images/k20.bmp,gestalt,,,0.0,18.0,18.0,19.0,,,,,,,4.0,2.235,,,,,,,2016_Sep_26_0916,60.0066669242,Gestalt_exp1,1,23800,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
59,9571,images/k20.bmp,gestalt,,,0.0,71.0,71.0,19.0,,,,,,,2.0,2.602,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,1,23854,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
60,9704,images/k20.bmp,gestalt,,,0.0,43.0,43.0,19.0,,,,,,,2.0,2.67,,,,,,,2016_Sep_19_1307,59.9444903373,Gestalt_exp1,1,23878,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
61,9831,images/k20.bmp,gestalt,,,0.0,9.0,9.0,19.0,,,,,,,5.0,1.635,,,,,,,2016_Sep_26_1508,59.9207685989,Gestalt_exp1,1,23926,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
62,10041,images/k20.bmp,gestalt,,,0.0,58.0,58.0,19.0,,,,,,,5.0,1.301,,,,,,,2016_Oct_17_1407,59.7424736206,Gestalt_exp1,1,23950,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
63,10222,images/k20.bmp,gestalt,,,0.0,78.0,78.0,19.0,,,,,,,5.0,1.17,,,,,,,2016_Oct_10_0910,59.9182861812,Gestalt_exp1,1,23956,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
64,10331,images/k20.bmp,gestalt,,,0.0,26.0,26.0,19.0,,,,,,,5.0,1.919,,,,,,,2016_Oct_10_1407,59.8974933131,Gestalt_exp1,1,23962,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
65,10543,images/k20.bmp,gestalt,,,0.0,77.0,77.0,19.0,,,,,,,4.0,2.285,,,,,,,2016_Oct_24_1504,59.917858199,Gestalt_exp1,1,23986,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
66,10692,images/k20.bmp,gestalt,,,0.0,65.0,65.0,19.0,,,,,,,5.0,3.153,,,,,,,2016_Oct_17_1612,59.928987725,Gestalt_exp1,1,24154,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
67,10857,images/k20.bmp,gestalt,,,0.0,69.0,69.0,19.0,,,,,,,5.0,1.002,,,,,,,2016_Oct_17_0910,59.9050215737,Gestalt_exp1,1,24205,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
68,11010,images/k20.bmp,gestalt,,,0.0,61.0,61.0,19.0,,,,,,,5.0,2.552,,,,,,,2016_Oct_10_1205,59.7263949033,Gestalt_exp1,1,24208,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
69,11115,images/k20.bmp,gestalt,,,0.0,5.0,5.0,19.0,,,,,,,5.0,2.919,,,,,,,2016_Oct_17_1709,59.9092998376,Gestalt_exp1,1,24331,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
70,11345,images/k20.bmp,gestalt,,,0.0,74.0,74.0,19.0,,,,,,,2.0,1.885,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,1,24355,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
71,11456,images/k20.bmp,gestalt,,,0.0,24.0,24.0,19.0,,,,,,,8.0,1.819,,,,,,,2016_Oct_24_1209,59.9204261842,Gestalt_exp1,1,24394,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
72,11654,images/k20.bmp,gestalt,,,0.0,61.0,61.0,19.0,,,,,,,5.0,1.202,,,,,,,2016_Oct_24_1011,59.728181,Gestalt_exp1,1,24679,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
73,11776,images/k20.bmp,gestalt,,,0.0,22.0,22.0,19.0,,,,,,,5.0,2.219,,,,,,,2016_Oct_24_0919,59.9024549086,Gestalt_exp1,1,24814,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
74,11963,images/k20.bmp,gestalt,,,0.0,48.0,48.0,19.0,,,,,,,4.0,1.585,,,,,,,2016_Oct_24_1605,59.9218814736,Gestalt_exp1,1,25255,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
75,12154,images/k20.bmp,gestalt,,,0.0,78.0,78.0,19.0,,,,,,,5.0,2.885,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,1,25273,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
76,12273,images/k20.bmp,gestalt,,,0.0,36.0,36.0,19.0,,,,,,,3.0,2.569,,,,,,,2016_Oct_24_1308,59.9179437949,Gestalt_exp1,1,25306,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
77,2,images/INVk14.bmp,inverted,,,0.0,1.0,1.0,68.0,,,,,,,5.0,10.069,,,,,,,2016_Oct_17_1007,59.9207685989,Gestalt_exp1,1,5635,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
78,164,images/INVk14.bmp,inverted,,,0.0,2.0,2.0,68.0,,,,,,,5.0,2.902,,,,,,,2016_Oct_24_1403,59.9081874302,Gestalt_exp1,1,7333,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
79,376,images/INVk14.bmp,inverted,,,0.0,53.0,53.0,68.0,,,,,,,2.0,1.402,,,,,,,2016_Oct_17_1508,59.7289465027,Gestalt_exp1,1,7576,,14,0.166420222686,0.150577777778,0.166420222686,0.150577777778,16,0.166420222686,0.150577777778,14
