,participant,img,Gestalt-scrambled,Inverted-Gestalt,Inverted-scrambled,gestalt,inverted,scrambled,diffGestalt,diffInv,hullDiff,densDiff
494,16891,15,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.00115555555556,0.00133165305282
495,16891,16,0.0,1.0,1.0,4.0,4.0,8.0,-4.0,-4.0,-0.0309666666667,0.00365602306784
496,16891,17,1.0,,,8.0,,7.0,1.0,,-0.0370333333333,0.000716594707261
497,16891,18,1.0,0.0,1.0,4.0,4.0,7.0,-3.0,-3.0,-0.125733333333,0.00675204284885
498,16891,19,1.0,1.0,1.0,5.0,9.0,8.0,-3.0,1.0,-0.0877555555556,0.00770715905724
499,16891,20,1.0,,,8.0,,3.0,5.0,,0.106566666667,-0.00766691666074
500,16891,21,0.0,0.0,0.0,8.0,4.0,5.0,3.0,-1.0,-0.0711111111111,0.00385365895387
501,16891,22,0.0,0.0,1.0,7.0,6.0,7.0,0.0,-1.0,0.0350555555556,-0.000264336548255
502,16891,23,1.0,0.0,1.0,6.0,4.0,4.0,2.0,0.0,-0.131633333333,0.00444969970055
503,16891,24,0.0,1.0,1.0,3.0,9.0,6.0,-3.0,3.0,0.1048,7.03192645681e-05
504,16891,25,1.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,-0.0874555555556,0.000602427939496
505,16891,26,1.0,1.0,1.0,8.0,4.0,3.0,5.0,1.0,-0.0972888888889,0.0107651195987
506,16891,27,0.0,1.0,1.0,7.0,9.0,5.0,2.0,4.0,0.00161111111111,0.00196512124492
507,16891,28,0.0,0.0,1.0,6.0,5.0,3.0,3.0,2.0,-0.0456555555556,0.00137553891697
508,16891,29,0.0,1.0,1.0,4.0,7.0,4.0,0.0,3.0,-0.173477777778,0.00484626502237
509,16891,30,0.0,1.0,1.0,5.0,6.0,4.0,1.0,2.0,-0.208311111111,0.0145634808792
510,17959,1,1.0,0.0,0.0,5.0,7.0,6.0,-1.0,1.0,-0.234444444444,0.00460912344787
511,17959,2,0.0,,,5.0,,4.0,1.0,,-0.290244444444,0.0111467933226
512,17959,3,1.0,0.0,1.0,7.0,5.0,3.0,4.0,2.0,-0.270766666667,0.0101584533402
513,17959,4,1.0,1.0,0.0,5.0,7.0,5.0,0.0,2.0,-0.114577777778,0.00844681479993
