	Unnamed: 0	images	condition	imgB	imgA	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	numLoop.thisRepN	numLoop.thisTrialN	numLoop.thisN	numLoop.thisIndex	response.keys	response.rt	rating.response	rating.rt	key_resp_2.keys	key_resp_2.rt	numResp.keys	acc	Alocation	rt	date	frameRate	expName	session	participant	Unnamed: 27	img
78	248		Inverted-Gestalt	images/k22.bmp	images/INVk22.bmp					0.0	2.0	2.0	67.0							left	0.0	right	0.549444913864	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		22
79	249		Inverted-Gestalt	images/k24.bmp	images/INVk24.bmp					0.0	3.0	3.0	69.0							left	1.0	left	0.632755994797	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		24
80	250		Inverted-Gestalt	images/k25.bmp	images/INVk25.bmp					0.0	4.0	4.0	70.0							left	0.0	right	1.0336868763	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		25
81	251		Inverted-Gestalt	images/k29.bmp	images/INVk29.bmp					0.0	5.0	5.0	74.0							left	1.0	left	0.700111865997	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		29
82	252		Inverted-scrambled	images/i02.bmp	images/INVk03.bmp					0.0	6.0	6.0	31.0							right	0.0	left	0.216687917709	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		3
83	253		Gestalt-scrambled	images/i03.bmp	images/k03.bmp					0.0	7.0	7.0	2.0							left	1.0	left	0.283118963242	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		3
84	254		Gestalt-scrambled	images/i26.bmp	images/k26.bmp					0.0	8.0	8.0	25.0							right	0.0	left	0.250431060791	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		26
85	255		Inverted-scrambled	images/i10.bmp	images/INVk10.bmp					0.0	9.0	9.0	36.0							left	1.0	left	0.666435956955	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		10
86	256		Gestalt-scrambled	images/i22.bmp	images/k22.bmp					0.0	10.0	10.0	21.0							right	1.0	right	0.366813898087	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		22
87	257		Gestalt-scrambled	images/i24.bmp	images/k24.bmp					0.0	11.0	11.0	23.0							left	1.0	left	0.416023015976	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		24
88	258		Inverted-Gestalt	images/k04.bmp	images/INVk04.bmp					0.0	12.0	12.0	55.0							right	0.0	left	0.533737897873	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		4
89	259		Gestalt-scrambled	images/i29.bmp	images/k29.bmp					0.0	13.0	13.0	28.0							right	0.0	left	1.21682095528	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		29
90	260		Inverted-Gestalt	images/k15.bmp	images/INVk15.bmp					0.0	14.0	14.0	62.0							left	0.0	right	0.249992847443	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		15
91	261		Inverted-scrambled	images/i18.bmp	images/INVk18.bmp					0.0	15.0	15.0	41.0							right	1.0	right	0.183495998383	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		18
92	262		Inverted-Gestalt	images/k14.bmp	images/INVk14.bmp					0.0	16.0	16.0	61.0							left	0.0	right	1.76662397385	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		14
93	263		Gestalt-scrambled	images/i12.bmp	images/k12.bmp					0.0	17.0	17.0	11.0							right	1.0	right	0.566742897034	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		12
94	264		Inverted-scrambled	images/i19.bmp	images/INVk19.bmp					0.0	18.0	18.0	42.0							right	1.0	right	1.35005879402	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		19
95	265		Inverted-Gestalt	images/k02.bmp	images/INVk03.bmp					0.0	19.0	19.0	54.0							right	0.0	left	0.317040920258	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		3
96	266		Inverted-scrambled	images/i04.bmp	images/INVk04.bmp					0.0	20.0	20.0	32.0							right	0.0	left	0.350126028061	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		4
97	267		Gestalt-scrambled	images/i27.bmp	images/k27.bmp					0.0	21.0	21.0	26.0							left	0.0	right	0.449813842773	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		27
98	268		Inverted-Gestalt	images/k27.bmp	images/INVk27.bmp					0.0	22.0	22.0	72.0							right	1.0	right	0.399974107742	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		27
99	269		Inverted-scrambled	images/i29.bmp	images/INVk29.bmp					0.0	23.0	23.0	51.0							right	1.0	right	0.515990972519	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		29
100	270		Inverted-Gestalt	images/k09.bmp	images/INVk09.bmp					0.0	24.0	24.0	58.0							left	1.0	left	0.383433818817	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		9
101	271		Gestalt-scrambled	images/i08.bmp	images/k08.bmp					0.0	25.0	25.0	7.0							right	0.0	left	0.134082794189	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		8
102	272		Inverted-scrambled	images/i22.bmp	images/INVk22.bmp					0.0	26.0	26.0	44.0							right	1.0	right	0.13362288475	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		22
103	273		Inverted-scrambled	images/i09.bmp	images/INVk09.bmp					0.0	27.0	27.0	35.0							left	0.0	right	0.31609416008	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		9
104	274		Inverted-Gestalt	images/k01.bmp	images/INVk01.bmp					0.0	28.0	28.0	53.0							right	0.0	left	0.283499002457	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		1
105	275		Inverted-Gestalt	images/k28.bmp	images/INVk28.bmp					0.0	29.0	29.0	73.0							right	1.0	right	0.0341780185699	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		28
106	276		Inverted-scrambled	images/i24.bmp	images/INVk24.bmp					0.0	30.0	30.0	46.0							right	0.0	left	0.300112009048	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		24
107	277		Inverted-scrambled	images/i01.bmp	images/INVk01.bmp					0.0	31.0	31.0	30.0							right	0.0	left	0.7175989151	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		1
108	278		Gestalt-scrambled	images/i28.bmp	images/k28.bmp					0.0	32.0	32.0	27.0							left	0.0	right	0.500316143036	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		28
109	279		Inverted-scrambled	images/i25.bmp	images/INVk25.bmp					0.0	33.0	33.0	47.0							right	0.0	left	0.117000102997	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		25
110	280		Gestalt-scrambled	images/i05.bmp	images/k05.bmp					0.0	34.0	34.0	4.0							right	0.0	left	0.38297700882	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		5
111	281		Inverted-scrambled	images/i16.bmp	images/INVk16.bmp					0.0	35.0	35.0	40.0							right	1.0	right	0.0504047870636	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		16
112	282		Gestalt-scrambled	images/i20.bmp	images/k20.bmp					0.0	36.0	36.0	19.0							right	1.0	right	0.0834891796112	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		20
113	283		Gestalt-scrambled	images/i06.bmp	images/k06.bmp					0.0	37.0	37.0	5.0							left	0.0	right	0.816874980927	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		6
114	284		Inverted-Gestalt	images/k30.bmp	images/INVk30.bmp					0.0	38.0	38.0	75.0							right	1.0	right	0.583338975906	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		30
115	285		Gestalt-scrambled	images/i16.bmp	images/k16.bmp					0.0	39.0	39.0	15.0							left	0.0	right	0.582943916321	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		16
116	286		Inverted-Gestalt	images/k18.bmp	images/INVk18.bmp					0.0	40.0	40.0	64.0							left	1.0	left	0.866658210754	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		18
117	287		Inverted-Gestalt	images/k16.bmp	images/INVk16.bmp					0.0	41.0	41.0	63.0							right	1.0	right	0.732578039169	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		16
118	288		Inverted-scrambled	images/i26.bmp	images/INVk26.bmp					0.0	42.0	42.0	48.0							left	0.0	right	0.834057092667	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		26
119	289		Inverted-scrambled	images/i12.bmp	images/INVk12.bmp					0.0	43.0	43.0	37.0							right	0.0	left	0.516941070557	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		12
120	290		Gestalt-scrambled	images/i17.bmp	images/k17.bmp					0.0	44.0	44.0	16.0							left	1.0	left	0.249922990799	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		17
121	291		Gestalt-scrambled	images/i25.bmp	images/k25.bmp					0.0	45.0	45.0	24.0							right	0.0	left	0.100191116333	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		25
122	292		Gestalt-scrambled	images/i04.bmp	images/k04.bmp					0.0	46.0	46.0	3.0							left	1.0	left	0.200715065002	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		4
123	293		Gestalt-scrambled	images/i07.bmp	images/k07.bmp					0.0	47.0	47.0	6.0							left	1.0	left	1.20009613037	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		7
124	294		Gestalt-scrambled	images/i18.bmp	images/k18.bmp					0.0	48.0	48.0	17.0							right	0.0	left	0.283531904221	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		18
125	295		Gestalt-scrambled	images/i13.bmp	images/k13.bmp					0.0	49.0	49.0	12.0							right	0.0	left	0.417336940765	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		13
126	296		Inverted-Gestalt	images/k21.bmp	images/INVk21.bmp					0.0	50.0	50.0	66.0							right	0.0	left	0.333822011948	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		21
127	297		Gestalt-scrambled	images/i30.bmp	images/k30.bmp					0.0	51.0	51.0	29.0							right	0.0	left	0.166120052338	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		30
128	298		Gestalt-scrambled	images/i21.bmp	images/k21.bmp					0.0	52.0	52.0	20.0							right	1.0	right	0.416106939316	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		21
129	299		Inverted-Gestalt	images/k12.bmp	images/INVk12.bmp					0.0	53.0	53.0	60.0							right	0.0	left	0.150945901871	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		12
130	300		Inverted-scrambled	images/i06.bmp	images/INVk06.bmp					0.0	54.0	54.0	34.0							left	0.0	right	0.36715722084	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		6
