images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.rt,date,frameRate,expName,session,participant,
,Inverted-Gestalt,images/k21.bmp,images/INVk21.bmp,,,,,0,27,27,66,,,,,,,left,1,0.567809366767,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k30.bmp,images/INVk30.bmp,,,,,0,28,28,75,,,,,,,left,1,0.350962052456,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i12.bmp,images/INVk12.bmp,,,,,0,29,29,37,,,,,,,left,1,0.451834515174,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i06.bmp,images/INVk06.bmp,,,,,0,30,30,34,,,,,,,right,1,0.536472209234,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i15.bmp,images/INVk15.bmp,,,,,0,31,31,39,,,,,,,left,1,0.23651770968,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i23.bmp,images/INVk23.bmp,,,,,0,32,32,45,,,,,,,left,0,0.28670163588,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i26.bmp,images/INVk26.bmp,,,,,0,33,33,48,,,,,,,left,1,0.285892976433,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i29.bmp,images/INVk29.bmp,,,,,0,34,34,51,,,,,,,left,1,0.202256377976,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i29.bmp,images/k29.bmp,,,,,0,35,35,28,,,,,,,left,0,0.252371027149,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k18.bmp,images/INVk18.bmp,,,,,0,36,36,64,,,,,,,right,0,0.252029346084,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i08.bmp,images/k08.bmp,,,,,0,37,37,7,,,,,,,right,1,2.02156225652,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k28.bmp,images/INVk28.bmp,,,,,0,38,38,73,,,,,,,left,0,0.218752859815,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i25.bmp,images/INVk25.bmp,,,,,0,39,39,47,,,,,,,left,1,0.385291378261,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k26.bmp,images/INVk26.bmp,,,,,0,40,40,71,,,,,,,right,1,2.19023467801,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k23.bmp,images/INVk23.bmp,,,,,0,41,41,68,,,,,,,left,0,0.233903999164,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k04.bmp,images/INVk04.bmp,,,,,0,42,42,55,,,,,,,left,0,0.536523953167,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i04.bmp,images/k04.bmp,,,,,0,43,43,3,,,,,,,right,1,0.317701816341,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i06.bmp,images/k06.bmp,,,,,0,44,44,5,,,,,,,right,1,0.285650506878,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i22.bmp,images/INVk22.bmp,,,,,0,45,45,44,,,,,,,left,0,0.300244009035,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i19.bmp,images/k19.bmp,,,,,0,46,46,18,,,,,,,left,0,0.301931032591,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k16.bmp,images/INVk16.bmp,,,,,0,47,47,63,,,,,,,right,0,0.384528048206,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k22.bmp,images/INVk22.bmp,,,,,0,48,48,67,,,,,,,left,0,0.267739405535,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k05.bmp,images/INVk05.bmp,,,,,0,49,49,56,,,,,,,right,0,0.317378523614,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k15.bmp,images/INVk15.bmp,,,,,0,50,50,62,,,,,,,right,1,1.1346125063,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i21.bmp,images/INVk21.bmp,,,,,0,51,51,43,,,,,,,right,1,0.286382191873,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i01.bmp,images/k01.bmp,,,,,0,52,52,0,,,,,,,left,0,0.218672464267,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k14.bmp,images/INVk14.bmp,,,,,0,53,53,61,,,,,,,right,1,0.80351243008,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k27.bmp,images/INVk27.bmp,,,,,0,54,54,72,,,,,,,right,1,1.6703179644,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i10.bmp,images/INVk10.bmp,,,,,0,55,55,36,,,,,,,right,1,0.535797827441,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i23.bmp,images/k23.bmp,,,,,0,56,56,22,,,,,,,right,1,0.300952601698,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i16.bmp,images/k16.bmp,,,,,0,57,57,15,,,,,,,left,0,0.25222947968,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i14.bmp,images/k14.bmp,,,,,0,58,58,13,,,,,,,left,0,0.303207525707,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i24.bmp,images/INVk24.bmp,,,,,0,59,59,46,,,,,,,left,1,0.419316654967,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k29.bmp,images/INVk29.bmp,,,,,0,60,60,74,,,,,,,left,1,0.384121794123,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i30.bmp,images/INVk30.bmp,,,,,0,61,61,52,,,,,,,left,0,0.283948088429,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i09.bmp,images/INVk09.bmp,,,,,0,62,62,35,,,,,,,right,0,0.200544123902,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i19.bmp,images/INVk19.bmp,,,,,0,63,63,42,,,,,,,right,1,0.984224084619,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i13.bmp,images/k13.bmp,,,,,0,64,64,12,,,,,,,right,0,0.367139945549,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i05.bmp,images/k05.bmp,,,,,0,65,65,4,,,,,,,left,1,0.954081741744,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i01.bmp,images/INVk01.bmp,,,,,0,66,66,30,,,,,,,left,1,0.23378511639,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i20.bmp,images/k20.bmp,,,,,0,67,67,19,,,,,,,right,1,1.02001079352,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i11.bmp,images/k11.bmp,,,,,0,68,68,10,,,,,,,right,0,0.285758698752,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k09.bmp,images/INVk09.bmp,,,,,0,69,69,58,,,,,,,right,0,1.02213272278,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k06.bmp,images/INVk06.bmp,,,,,0,70,70,57,,,,,,,right,0,0.870483202889,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i10.bmp,images/k10.bmp,,,,,0,71,71,9,,,,,,,left,0,0.484771030926,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
